E_2movats_outer_x20_1_FullImg,Mean,Standard Deviation
Elastin,0.269755378248785,0.0461785449738569
Elastin/Mucin,0.414406309267909,0.0425571075904035
Mucin,0.558513950188261,0.0416826952916439
